"buy0","social0","educ0"
3,4,5
3.75,5,3
2.25,2.3333333333,3
1.5,4,4.25
2.5,3,2.25
3.5,4,5
4.5,5,4
2,4,2.75
3,4,4.75
2.5,3.6666666667,3.25
3.5,2.6666666667,3.75
3.25,4,2.75
3.25,5,4
4.5,3,4
3.25,4,4
3,2,2.5
3,4,3.5
3.5,4.3333333333,2.75
1.5,4,2.5
1,4,2.25
3.5,3.6666666667,2.5
3.25,2,3.25
2.5,4.6666666667,3.25
4.25,3.3333333333,3.5
2,4,4
2.75,3.6666666667,4
3.75,3,3.5
2.5,3.6666666667,2.75
3,5,3.25
2.5,4,3.75
3,2,3
2,5,3.5
4,2,2.75
3.5,4,4
1.5,1,3
3.25,2,4.25
4.25,5,3
2.5,3,4
4.25,3.6666666667,3.75
3.75,3.6666666667,4.5
2.5,3,3.5
3.75,3,3
3.75,4.6666666667,4
3.5,4.3333333333,3.75
3.5,4,3.25
3.5,3.3333333333,3.75
3.75,3,3.25
4.25,3.6666666667,4.5
1.5,5,3.75
3,3.6666666667,3.25
2,5,2.5
2.25,1,2.25
4.25,2.3333333333,3.25
4,2.6666666667,3
3.75,3.6666666667,3
3,3.6666666667,2.25
3.75,4,4.5
3.25,2.3333333333,3.25
3.25,2,4
4.25,1,3
4,3.3333333333,3.75
3.25,5,4.25
4.5,3.3333333333,3.5
4.25,3,2.75
3.5,3,3
4,3,3.5
2.5,4,4.5
3.75,2.3333333333,3.75
2,4.6666666667,2.5
2.75,4,3.75
2.75,4,4
4,3.6666666667,3.5
3,1.3333333333,4
3.75,4,4.75
2.5,3,3.5
2.75,3,3.5
3,2.6666666667,4
4.25,3.6666666667,4.25
2,3.6666666667,3
3,2.6666666667,3.5
2.25,5,3
3.5,2,3.25
2.25,2.6666666667,4
3.5,4,5
2.5,4.6666666667,4
3,3,3.25
3,4,3.75
4.25,2,3
3,2.6666666667,2.75
3.25,3,4
2.75,3.6666666667,2
3.25,4.6666666667,3.75
2.25,4,3
3,5,3.75
4,2.6666666667,3.5
3.5,3.6666666667,4
3,4,3.75
3.25,3,3.5
3.5,1.3333333333,2.75
3.75,1,3
3.5,4,4.25
4.25,2,2.75
3.5,3.3333333333,3.75
3.75,3.6666666667,3
2,4,4
3,4,3.75
4.5,5,4.5
3,4,4
2,4,2.75
3.75,3.6666666667,3
4.25,4,3.75
4,3.6666666667,4
3.75,4,4.25
3.5,4,3.5
3.25,4.3333333333,3.5
2.75,4.3333333333,3.5
3.75,2,2.5
3.75,3.3333333333,4
2.25,3,4
2.5,3.3333333333,4.25
4.25,5,4.5
3.5,4,3.75
4,3,5
4.25,4,4.75
2,2.3333333333,4.25
3,5,4.75
3.75,1,2.25
4,3,4.75
2.75,1.6666666667,3.25
3.25,3,3.75
1.75,3,4.75
3.75,3.6666666667,4.25
3.75,4,3.75
4.25,2,3.5
3.75,2,3.75
4,3,3.25
3,3,5
2.75,5,2.75
3.25,4,3.5
3,2.6666666667,4
2.5,4,3.25
3,2,3
4.5,5,4.25
3.25,3,3.25
3.75,4.3333333333,4.25
4.5,4,3.5
3.5,4,4
3,3,3.5
3.75,3,3.75
4,3,4
3.5,5,3.5
4.25,3.3333333333,4
1.5,5,4
1,5,4
3,4.3333333333,4.75
3,4.3333333333,4.25
3,5,4.5
3,3,3
3.75,4.6666666667,3.25
3.5,5,4.25
3,3.6666666667,3.5
3.5,3,4.25
3,3,3.75
3.75,2.6666666667,4.5
2.75,4,4.75
3.5,1.3333333333,3
2.25,3,3.25
3,3.3333333333,3.75
3.75,3.3333333333,3
2.25,3,4
2.75,2.6666666667,3.5
3.25,2.3333333333,4.75
3,3,4
2.75,1.6666666667,3.25
3.5,3.3333333333,4.75
3.75,5,3.75
2.75,3.3333333333,2.75
3,4,4.25
2.25,5,5
2.5,4,4.5
2,5,3.75
3.5,5,5
3,4,3.5
3.25,3,3.25
2.75,4,4.75
2.75,4.6666666667,3.25
4,3.6666666667,3
3,2,3.75
3.5,4.3333333333,4
3.75,4.3333333333,4.75
3.75,4.6666666667,4
3.75,5,3.5
3,5,4.5
3,2,4
3.25,1.6666666667,4.25
4,5,5
3.5,1.3333333333,3.5
2.75,4,3.25
3,3,3
2,4,4.5
2.5,4,3.5
1.25,5,4.75
2.5,3,3.25
3.5,4,3.25
2.5,3.6666666667,3.25
3,1.3333333333,4.25
1,3,3
4,3,4.25
3.75,3.3333333333,3.5
3,4.6666666667,2.5
2.75,2.3333333333,2.5
3.5,4,3.5
2.75,4,3
3.25,3,4.5
3.75,5,5
3.25,3,3.5
3.25,2,3.25
2,4.3333333333,5
3,2,3.5
3.75,2.6666666667,4.5
3.5,3.3333333333,4
4.5,5,5
5,5,4.25
2.25,4,5
3.5,4,3
5,3,4
2,3,2.5
2,4,3.5
2,3,2.75
2.75,4,3.25
2.5,2.6666666667,3.25
4.5,4.6666666667,3.75
1.25,5,4.25
2.5,4,3.75
3.25,2.6666666667,2.75
4,3.3333333333,2.75
3.25,3,4.5
3.25,3.3333333333,4
1.75,4,4.25
4.5,5,5
3.25,4,3.75
2.5,4,2
2.25,3,3.25
2.75,3.3333333333,3.25
2.75,4,3.25
3.75,4,3.5
3.25,3,3.5
3.25,4.6666666667,4.5
4,3.3333333333,3.25
3.25,4,3.75
3,2.3333333333,4.75
3.25,3.3333333333,4.25
3,4.3333333333,3.75
2,4.6666666667,3.25
3,2.3333333333,3.5
2.5,2.3333333333,3.5
3.75,5,4
3.75,5,4.75
2.75,1.6666666667,2.75
4,3.6666666667,3
3.75,4,3.25
3.75,4,3.25
2.5,3.3333333333,4
3.25,2.6666666667,3.5
3.5,1,3.25
1.5,5,5
3,3,4.25
3.25,4.6666666667,3.5
4.25,3.6666666667,3.25
3.5,2.3333333333,3.75
3,4.3333333333,4.5
3.75,4,3.25
3.25,2.3333333333,3
3.25,5,4.25
3.25,5,4.5
4.5,3.6666666667,4.5
3.75,3.6666666667,3.75
3.25,2.6666666667,3.5
3.75,5,3.25
3.25,4,4.25
3.5,3.6666666667,4
2.75,3.6666666667,3
4,5,4.5
3.5,2.6666666667,3
4,3.6666666667,4
3.25,2.6666666667,2
3,3,4
3.25,3,3.5
4,4,4.5
2,3,3.5
3.25,1.3333333333,3.25
4,4.3333333333,2.5
3.5,2.3333333333,3
4.5,4.6666666667,4.5
4,4.3333333333,4.75
4.5,4.3333333333,4.5
3.75,4.3333333333,3
4.5,3.3333333333,4
4,4,4
3.25,5,4.25
2.25,4.6666666667,3.75
3,2.6666666667,3
2,3,2.75
4,4,3.5
3.25,4,3.25
3,3,3.75
2.5,4,3.5
3,1,3.75
4.75,3,5
3,2,3
3.5,5,5
3.25,2.6666666667,5
2,2,2.5
2.75,4.6666666667,4
4,4,3.5
4,5,5
4,4,3.25
2,4.6666666667,2
2.75,3.3333333333,4.75
4.5,4,4.25
4.25,4,5
3.5,3,2.75
2.5,3.6666666667,3.25
3.75,3,3.5
4.5,3,4.25
3.5,3,4.5
1.5,5,3.75
4.25,3,3.75
1,4,2.75
3.25,4,3.5
3.5,4.3333333333,3.25
3,5,2.75
3.75,2.6666666667,2.5
3.75,2.3333333333,4.25
2.5,5,3.5
3.25,2.6666666667,4.25
3.5,3,3.75
3.75,2,2.75
2.75,1,1.75
3.75,2,3
1,3.3333333333,2.75
3.75,2.6666666667,4
4.25,5,4.75
4.25,3,4
3.75,3.6666666667,4.5
3,1.3333333333,3
4,5,4
2.25,5,5
2.75,2.3333333333,3
3.5,3,3.25
3,2,3.5
3,3.3333333333,4.25
4.25,3,3.25
2.5,4,4.75
4,3.6666666667,3
3.75,3.6666666667,3.5
3.25,3.3333333333,3.25
4.25,4.6666666667,4.75
1,4,4.5
3.25,2.3333333333,2.5
2.75,2,3.5
2.75,2.3333333333,4.25
3.25,4.6666666667,3.25
2.5,5,3
2.75,3.3333333333,3.75
3,4,3.75
3,3.3333333333,4.5
1.5,4.3333333333,3.25
3.5,2,4.75
3,5,3
2.75,4.6666666667,2.25
2.75,3.3333333333,2.5
2.75,3.3333333333,3.5
3.75,4.3333333333,4
4,2,3
1.75,4,2.5
3,1,4
1.25,5,5
3.75,3.6666666667,3.25
3.25,3.3333333333,3
3.25,1.6666666667,4.75
3.25,2.6666666667,4.5
3,3.3333333333,4.25
1.5,5,3.25
3.5,2,3.5
4,2.3333333333,3.5
3,4,3.75
2.75,3.6666666667,2.75
4,4.3333333333,4.5
3.5,3.6666666667,3.5
2,4.6666666667,3.75
3.25,3.3333333333,3
4,4.3333333333,4.75
3.75,5,5
3.25,4,4.5
3,3,2.75
2,2.6666666667,2
3.25,2.6666666667,3
3.75,2.6666666667,4
2.25,3.3333333333,4.25
2,5,4.25
3.75,5,4.75
4,2.6666666667,3.75
4,2.3333333333,4
3.5,2,3
3.25,3,3.75
2,3,3.25
3.5,2.3333333333,4.5
2.5,5,4.5
4,5,3.5
4,4,3.5
3.25,1.3333333333,4.25
4,2.6666666667,3.5
3.75,5,3.25
3,3,4.5
2,4,3.75
3.75,3.6666666667,4.75
3.75,2.3333333333,3.5
3.75,1,2
4,4,4
5,4.3333333333,4.75
3.5,2,5
1.75,4.6666666667,3.75
2.75,4,3.5
3.25,4,4
3.5,3,4.25
3.5,4.6666666667,3.5
2.75,2,4.75
3.25,3,3.75
4,5,4.5
3.25,4,3.25
2.75,5,5
3.5,4.6666666667,4.25
3.5,3,3.25
4.25,4,4
3.25,3.6666666667,3.75
3.5,3,3
3,4,3.5
3.5,4,4.25
2.5,2.3333333333,2.25
3.75,3,3.75
2.75,3,3.5
4,2.6666666667,3.5
2.75,3,3
4,3,4.25
